Word,Count
#ConstraintLayout_Layout_layout_constraintWidth_default,2
#ConstraintSet_layout_goneMarginLeft,2
com.example.randy.sample:layout_constraintBottom_toTopOf,2
#DrawerArrowToggle_gapBetweenBars,2
com.example.randy.sample:layout_constraintRight_creator}</code></td><td></td></tr>,2
#TextAppearance_textAllCaps,2
#SwitchCompat_switchPadding,2
<tr><td>always</td><td>2</td><td></td></tr>,2
request,2
#AppCompatTheme_actionModeCloseDrawable,2
<tr><td>end</td><td>6</td><td></td></tr>,2
<tr><td>container</td><td>10000</td><td></td></tr>,2
com.example.randy.sample.R.attr#layout_constraintCircleAngle},2
com.example.randy.sample.R.attr#fontFamily},2
#TextAppearance_android_textSize,2
#AppCompatTheme_dialogCornerRadius,2
#ActionBar_contentInsetEndWithActions,2
com.example.randy.sample:height,2
android.R.attr#alpha},2
#AppCompatTheme_actionOverflowMenuStyle,2
#Toolbar_popupTheme,2
#GradientColorItem_android_offset,2
#ConstraintSet_android_layout_marginEnd,2
com.example.randy.sample:layout_constraintHorizontal_bias,2
#AnimatedStateListDrawableCompat_android_variablePadding,2
#ConstraintLayout_Layout_layout_constraintHeight_min,2
#AppCompatTheme_buttonBarNeutralButtonStyle,2
com.example.randy.sample.R.attr#title},2
com.example.randy.sample:divider,2
#ActionBar_popupTheme,2
android:variablePadding}</code></td><td></td></tr>,2
#StateListDrawable_android_enterFadeDuration,2
#ConstraintSet_android_rotationX,2
com.example.randy.sample:layout_constraintBaseline_toBaselineOf,2
com.example.randy.sample:layout_constraintTop_toBottomOf,2
#AppCompatTheme_actionBarSplitStyle,2
#Toolbar_subtitleTextColor,2
android:minWidth,2
com.example.randy.sample.R.attr#layout_constraintEnd_toStartOf},2
android:layout_height}</code></td><td></td></tr>,2
#ConstraintLayout_Layout_layout_constraintBottom_toTopOf,2
#AppCompatTheme_actionOverflowButtonStyle,2
com.example.randy.sample:logo}</code></td><td></td></tr>,2
#ActionMode_closeItemLayout,2
#Toolbar_subtitle,2
#ConstraintLayout_Layout_layout_constraintDimensionRatio,2
#GradientColor_android_endX,2
#AppCompatTheme_controlBackground,2
#AppCompatTheme_actionModeWebSearchDrawable,2
#ActionBar_contentInsetStartWithNavigation,2
#AppCompatSeekBar_tickMark,2
com.example.randy.sample:layout_goneMarginTop,2
notification,2
android:thumb,2
com.example.randy.sample.R.attr#layout_constraintGuide_percent},2
com.example.randy.sample:layout_constraintWidth_max}</code></td><td></td></tr>,2
#SearchView_android_focusable,2
com.example.randy.sample.R.attr#layout_constraintVertical_weight},2
#GradientColorItem},2
<tr><td>system</td><td>20000</td><td></td></tr>,2
com.example.randy.sample:homeAsUpIndicator,2
<tr><td>all</td><td>77</td><td></td></tr>,2
#ConstraintSet_layout_constraintHorizontal_weight,2
passed,2
android.R.attr#windowAnimationStyle},2
#ConstraintSet_layout_constraintEnd_toEndOf,2
weekly,2
#ViewStubCompat_android_id,2
com.example.randy.sample.R.attr#layout_constraintVertical_chainStyle},2
com.example.randy.sample:titleTextStyle}</code></td><td></td></tr>,2
#ConstraintSet_android_layout_height,2
com.example.randy.sample:layout_goneMarginBottom}</code></td><td></td></tr>,2
com.example.randy.sample:layout_constraintTop_creator,2
com.example.randy.sample.R.attr#layout_constraintTop_toTopOf},2
com.example.randy.sample.R.attr#layout_constraintWidth_default},2
#ActionBar_contentInsetStart,2
com.example.randy.sample:subtitle}</code></td><td></td></tr>,2
com.example.randy.sample.R.attr#layout_constraintRight_toLeftOf},2
#ConstraintLayout_Layout_layout_constraintTop_toBottomOf,2
#ConstraintSet_layout_constraintVertical_weight,2
#ActionMode_height,2
com.example.randy.sample:layout_constraintCircle}</code></td><td></td></tr>,2
com.example.randy.sample.R.attr#layout_constraintRight_toRightOf},2
#MenuItem_android_menuCategory,2
#SearchView_queryBackground,2
#AppCompatTheme_textAppearanceLargePopupMenu,2
#AlertDialog_multiChoiceItemLayout,2
#ConstraintLayout_Layout_layout_constraintEnd_toEndOf,2
#AppCompatTheme_actionBarTabBarStyle,2
#AppCompatTheme_actionBarSize,2
UNIVERSAL,2
#AppCompatTheme_actionDropDownStyle,2
<tr><td>bottom</td><td>3</td><td></td></tr>,2
com.example.randy.sample.R.attr#homeAsUpIndicator},2
#AppCompatTheme_homeAsUpIndicator,2
#AppCompatTheme_checkboxStyle,2
#LinearLayoutCompat_android_orientation,2
#MenuView_android_windowAnimationStyle,2
#ActionBar_displayOptions,2
#ConstraintSet_layout_constrainedHeight,2
com.example.randy.sample:height}</code></td><td></td></tr>,2
#ConstraintSet_layout_constraintDimensionRatio,2
com.example.randy.sample:layout_constrainedWidth}</code></td><td></td></tr>,2
#AppCompatSeekBar_tickMarkTint,2
updating,2
#Toolbar_subtitleTextAppearance,2
#ConstraintLayout_Layout_layout_constraintVertical_bias,2
com.example.randy.sample.R.attr#background},2
header,2
edit,2
android:alpha}</code></td><td></td></tr>,2
#AppCompatTheme_android_windowAnimationStyle,2
#ConstraintSet_layout_constraintWidth_max,2
#AppCompatTheme_alertDialogCenterButtons,2
#CoordinatorLayout_Layout_layout_anchor,2
android:layout,2
com.example.randy.sample:layout_constraintGuide_end}</code></td><td></td></tr>,2
#RecycleListView_paddingTopNoTitle,2
#DrawerArrowToggle_arrowShaftLength,2
#ActionBar_icon,2
#SearchView_queryHint,2
#ConstraintLayout_Layout_layout_constraintHeight_default,2
com.example.randy.sample.R.attr#layout_constraintHorizontal_bias},2
#GradientColor_android_centerColor,2
#MenuView_android_itemIconDisabledAlpha,2
#ConstraintLayout_Layout_layout_constraintTop_toTopOf,2
com.example.randy.sample:titleTextStyle,2
#FontFamilyFont_ttcIndex,2
#AppCompatImageView_android_src,2
#ConstraintLayout_Layout_constraint_referenced_ids,2
#ConstraintSet_android_translationY,2
#MenuGroup_android_enabled,2
com.example.randy.sample:layout_constraintLeft_toRightOf,2
#AnimatedStateListDrawableCompat_android_exitFadeDuration,2
#AppCompatTextView_fontFamily,2
#SearchView_goIcon,2
android:layout}</code></td><td></td></tr>,2
android.R.attr#exitFadeDuration},2
position,2
#PopupWindow_android_popupBackground,2
#MenuItem_android_onClick,2
com.example.randy.sample:contentInsetEnd}</code></td><td></td></tr>,2
#SwitchCompat_android_textOn,2
#ActionMode_background,2
com.example.randy.sample:layout_constraintHorizontal_weight}</code></td><td></td></tr>,2
com.example.randy.sample.R.attr#contentInsetRight},2
android:minHeight,2
android:windowAnimationStyle,2
#FontFamilyFont_android_font,2
#Spinner_android_entries,2
#ConstraintSet_layout_constraintWidth_min,2
#SwitchCompat_thumbTextPadding,2
#Toolbar_contentInsetEndWithActions,2
#StateListDrawable_android_variablePadding,2
com.example.randy.sample.R.attr#layout_goneMarginStart},2
#LinearLayoutCompat_Layout_android_layout_gravity,2
#AppCompatTheme_actionBarDivider,2
#FontFamily_fontProviderFetchTimeout,2
#AppCompatTheme_checkedTextViewStyle,2
#AppCompatTheme_tooltipForegroundColor,2
formatting,2
com.example.randy.sample.R.attr#divider},2
com.example.randy.sample:layout_constraintBottom_toBottomOf}</code></td><td></td></tr>,2
instance,2
com.example.randy.sample:layout_goneMarginEnd,2
android:layout_width}</code></td><td></td></tr>,2
android.R.attr#focusable},2
com.example.randy.sample:layout_constraintVertical_chainStyle}</code></td><td></td></tr>,2
android.R.attr#maxWidth},2
com.example.randy.sample:layout_constraintStart_toStartOf,2
#Spinner_android_dropDownWidth,2
android:focusable,2
#AnimatedStateListDrawableItem_android_id,2
com.example.randy.sample:layout_constraintHorizontal_chainStyle,2
com.example.randy.sample.R.attr#layout_constraintTop_creator},2
#AppCompatTheme_textColorAlertDialogListItem,2
#AppCompatTheme_listPopupWindowStyle,2
#DrawerArrowToggle_barLength,2
#MenuItem_actionViewClass,2
#AppCompatTheme_popupMenuStyle,2
com.example.randy.sample:backgroundSplit}</code></td><td></td></tr>,2
#ActionBar_title,2
#AppCompatTheme_listChoiceBackgroundIndicator,2
has,2
#ConstraintSet_android_layout_width,2
#ConstraintLayout_Layout_android_minWidth,2
<tr><td>never</td><td>0</td><td></td></tr>,2
com.example.randy.sample:title,2
#AppCompatTextView_autoSizeMinTextSize,2
#TextAppearance_android_shadowDy,2
#ViewBackgroundHelper_backgroundTintMode,2
#ViewStubCompat_android_layout,2
android.R.attr#enabled},2
#StateListDrawable_android_constantSize,2
#TextAppearance_android_shadowColor,2
#FontFamilyFont_fontStyle,2
#Spinner_android_prompt,2
android:textAppearance}</code></td><td></td></tr>,2
#ConstraintLayout_Layout_layout_constraintRight_toRightOf,2
#AppCompatTheme_actionBarTabStyle,2
#ConstraintLayout_Layout_layout_constraintLeft_creator,2
completed,2
#MenuItem_android_titleCondensed,2
#MenuGroup_android_orderInCategory,2
#ActivityChooserView_expandActivityOverflowButtonDrawable,2
#ConstraintLayout_Layout_layout_constraintRight_creator,2
#AppCompatTheme_colorPrimaryDark,2
android:gravity}</code></td><td></td></tr>,2
#GradientColor_android_endColor,2
#AppCompatTheme_colorAccent,2
com.example.randy.sample:layout_constraintCircleAngle}</code></td><td></td></tr>,2
com.example.randy.sample:contentInsetLeft,2
#AppCompatTheme_actionBarWidgetTheme,2
#ConstraintLayout_placeholder},2
android.R.attr#dither},2
\test,\,2
#ConstraintLayout_Layout_layout_goneMarginEnd,2
android.R.attr#variablePadding},2
#AppCompatTextHelper_android_drawableBottom,2
#AlertDialog_android_layout,2
